,Locationabbr,QuestionID,RESPONSEID,mean_and_cl,param_list,trend_class
1343,31080,DRNKANY5,RESP046,"[[nan, nan, 53.82, 51.56, 52.43, 51.92, 55.59], [nan, nan, 51.19, 48.72, 50.0, 49.57, 52.53]]","[-3089.4588839847415, 0.766719748820101, 3112256.495403512]",-+
1344,31080,_HCVU651,RESP046,"[[nan, nan, 76.06, 78.34, 84.13, 84.76, 86.57], [nan, nan, 73.71, 75.93, 82.31, 82.96, 84.55]]","[0, 2.782321711278894, -5524.571569995623]",0+
1345,31080,_RFHLTH,RESP061,"[[nan, nan, 80.33, 79.8, 80.51, 79.44, 82.22], [nan, nan, 78.49, 77.8, 78.65, 77.56, 80.06]]","[-1459.2343409799591, 0.3621820345010474, 1469896.400036135]",-+
1346,31080,_RFHYPE5,RESP046,"[[nan, nan, 28.57, nan, 27.72, nan, 26.02], [nan, nan, 26.39, nan, 25.62, nan, 23.53]]","[0, -0.6456647807785458, 1328.4330737280875]",0-
1347,31080,_RFSMOK3,RESP046,"[[nan, nan, 11.29, 12.9, 10.8, 10.75, 11.74], [nan, nan, 9.66, 11.04, 9.39, 9.34, 9.66]]","[0, -0.10435138066935272, 221.95084222437387]",0-
1348,31080,_TOTINDA,RESP046,"[[nan, nan, 76.57, 79.03, 80.97, 79.76, 80.75], [nan, nan, 74.3, 76.83, 79.05, 77.86, 78.3]]","[1709.4572155875017, -0.42394727406226196, -1723154.6725096619]",+-
1349,31084,BLOODCHO,RESP046,"[[78.89, nan, nan, nan, nan, nan, nan], [76.81, nan, nan, nan, nan, nan, nan]]","[0, 0, 78.89]",00
1350,31084,Custom_8,Custom_8,"[[44.9740144505007, nan, nan, nan, nan, nan, nan], [41.72068565593725, nan, nan, nan, nan, nan, nan]]","[0, 0, 44.9740144505007]",00
1351,31084,Custom_9,Custom_9,"[[60.81, 59.27, nan, nan, nan, nan, nan], [55.98157375535258, 54.521347559570195, nan, nan, nan, nan, nan]]","[0, -1.5399999999999991, 3157.749999999998]",0-
1352,31084,DIABETE3,RESP046,"[[9.25, 10.64, nan, nan, nan, nan, nan], [7.86, 9.25, nan, nan, nan, nan, nan]]","[0, 1.3900000000000006, -2786.0400000000013]",0+
1353,31084,DRNKANY5,RESP046,"[[55.42, 51.61, nan, nan, nan, nan, nan], [52.87, 48.98, nan, nan, nan, nan, nan]]","[0, -3.810000000000003, 7717.330000000007]",0-
1354,31084,_HCVU651,RESP046,"[[74.82, 68.34, nan, nan, nan, nan, nan], [72.53, 65.87, nan, nan, nan, nan, nan]]","[0, -6.47999999999999, 13106.099999999979]",0-
1355,31084,_RFHLTH,RESP061,"[[78.62, 78.42, nan, nan, nan, nan, nan], [76.72, 76.48, nan, nan, nan, nan, nan]]","[0, -0.20000000000000284, 480.82000000000573]",0-
1356,31084,_RFHYPE5,RESP046,"[[27.33, nan, nan, nan, nan, nan, nan], [25.35, nan, nan, nan, nan, nan, nan]]","[0, 0, 27.33]",00
1357,31084,_RFSMOK3,RESP046,"[[12.75, 11.82, nan, nan, nan, nan, nan], [11.2, 10.29, nan, nan, nan, nan, nan]]","[0, -0.9299999999999998, 1882.9799999999993]",0-
1358,31084,_TOTINDA,RESP046,"[[80.11, 78.45, nan, nan, nan, nan, nan], [78.15, 76.39, nan, nan, nan, nan, nan]]","[0, -1.6599999999999964, 3418.369999999993]",0-
1359,31140,BLOODCHO,RESP046,"[[79.38, nan, 81.61, nan, 80.18, nan, nan], [76.34, nan, 78.59, nan, 76.73, nan, nan]]","[0, 0.16491084675802978, -251.62788217691588]",0+
1360,31140,Custom_8,Custom_8,"[[47.83320735701688, nan, 50.50851611322141, nan, 45.709653280119724, nan, nan], [43.163138955422276, nan, 45.9758154634596, nan, 40.43986822485554, nan, nan]]","[0, -0.5973883328116393, 1250.4203410083514]",0-
