,Locationabbr,QuestionID,RESPONSEID,mean_and_cl,param_list,trend_class
1670,36260,DIABETE3,RESP046,"[[7.19, 8.71, 7.87, 8.09, 7.18, 8.28, 7.7], [5.97, 7.44, 6.65, 7.01, 5.96, 7.05, 6.43]]","[0, -0.0064755961605258705, 20.904093467983152, 2011, 2017, 7.881669589165627, 7.842816012202471, -0.0064755961605258705, -0.0064755961605258705]",0+
1671,36260,DRNKANY5,RESP046,"[[28.56, 27.74, 29.46, 28.4, 31.62, 30.91, 30.27], [26.15, 25.41, 27.19, 26.42, 29.19, 28.42, 27.7]]","[0, 0.47494492371751934, -926.9214899369433, 2011, 2017, 28.192751658988072, 31.042421201293223, 0.47494492371751934, 0.47494492371751934]",0-
1672,36260,_HCVU651,RESP046,"[[83.69, 85.34, 85.34, 85.36, 89.35, 89.34, 87.56], [81.48, 83.14, 83.18, 83.58, 87.31, 87.22, 85.42]]","[0, 0.8372519205418283, -1599.631785448686, 2011, 2017, 84.08182676093065, 89.1053382841817, 0.8372519205418283, 0.8372519205418283]",0+
1673,36260,_RFHLTH,RESP061,"[[87.32, 87.07, 88.46, 87.81, 88.52, 88.37, 85.97], [85.65, 85.46, 86.97, 86.4, 86.87, 86.78, 84.11]]","[-0.20131870467333382, 810.8415971402826, -816358.4000057525, 2011, 2017, 86.85058112849947, 86.4297094248468, 1.1377669441340004, -1.278057511946031]",--
1674,36260,_RFHYPE5,RESP046,"[[24.6, nan, 27.69, nan, 25.56, nan, 27.16], [22.54, nan, 25.63, nan, 23.48, nan, 24.89]]","[0, 0.2788611000852959, -535.374643009184, 2011, 2017, 25.41502926234614, 27.0881958628579, 0.2788611000852959, 0.2788611000852959]",0-
1675,36260,_RFSMOK3,RESP046,"[[12.03, 10.91, 10.58, 10.95, 10.37, 8.2, 9.51], [10.29, 9.19, 8.99, 9.54, 8.74, 6.67, 7.9]]","[0, -0.46344526796518154, 943.7421500855864, 2011, 2017, 11.753716207606317, 8.973044599815239, -0.46344526796518154, -0.46344526796518154]",0+
1676,36260,_TOTINDA,RESP046,"[[81.31, 83.51, 80.0, 83.98, 78.37, 80.97, 80.18], [79.29, 81.55, 77.98, 82.43, 76.23, 78.95, 78.02]]","[0, -0.3583389651326097, 802.6576394231814, 2011, 2017, 82.03798054150332, 79.88794675070767, -0.3583389651326097, -0.3583389651326097]",0-
1677,36420,BLOODCHO,RESP046,"[[73.39, nan, 78.53, nan, 77.1, nan, nan], [70.61, nan, 76.12, nan, 73.73, nan, nan]]","[0, 0.8525643382293527, -1640.1787148892595, 2011, 2015, 74.32816928996886, 77.73842664288622, 0.8525643382293527, 0.8525643382293527]",0+
1678,36420,Custom_8,Custom_8,"[[54.09456329200164, nan, 51.203361772570986, nan, 46.71854734111544, nan, nan], [49.94281794924531, nan, 47.61887255946243, nan, 42.32420851844408, nan, nan]]","[0, -1.849896697954883, 3774.4563639949256, 2011, 2015, 54.31410440765603, 46.9145176158363, -1.849896697954883, -1.849896697954883]",0+
1679,36420,Custom_9,Custom_9,"[[63.55, 66.93, 64.7, 65.85, 67.6, 67.49, 68.0], [58.06871365462449, 61.44266002511235, 59.55058255722068, 60.549764156190776, 60.75321243209635, 61.04950312475815, 61.83737069101183]]","[0, 0.6189725072047854, -1180.249511435029, 2011, 2017, 64.50420055379436, 68.21803559702312, 0.6189725072047854, 0.6189725072047854]",0-
